image,issue_type,reason,gt_index,pred_index,iou,gt_w,gt_h,gt_area_ratio,pred_w,pred_h,width_ratio,height_ratio,pred_conf,small_object,partial_candidate,crowded_candidate,max_person_overlap_iou
construction_image1000.jpeg,FP_person,예측 person이 있지만 정답 person과 매칭되지 않음,,1,0.0000,,,,188.99,350.01,,,0.5874,,,,
construction_image1004.jpg,Localization_Error,객체는 찾았지만 IoU가 낮아 박스 정밀도 부족,0,0,0.7234,212.09,308.92,0.159958,171.92,298.24,0.8106,0.9654,0.8960,False,False,False,0.0000
construction_image101.jpeg,Localization_Error,객체는 찾았지만 IoU가 낮아 박스 정밀도 부족,0,0,0.7339,123.29,238.41,0.071762,101.51,212.51,0.8234,0.8914,0.7286,False,False,False,0.0177
construction_image1033.jpg,FP_person,예측 person이 있지만 정답 person과 매칭되지 않음,,0,0.0000,,,,327.84,543.39,,,0.9175,,,,
construction_image1042.jpg,Partial_or_Truncated_Candidate,person 박스가 이미지 경계에 가까워 상반신/부분 가림 사례일 가능성,0,0,0.7738,339.25,540.40,0.447585,281.73,510.86,0.8305,0.9453,0.9009,False,True,False,0.0000
construction_image1068.jpg,Partial_or_Truncated_Candidate,person 박스가 이미지 경계에 가까워 상반신/부분 가림 사례일 가능성,0,0,0.8221,372.50,552.86,0.502784,319.26,540.23,0.8571,0.9771,0.9176,False,True,False,0.0000
construction_image1068.jpg,FP_person,예측 person이 있지만 정답 person과 매칭되지 않음,,1,0.0000,,,,288.61,554.77,,,0.7295,,,,
construction_image107.jpg,Localization_Error,객체는 찾았지만 IoU가 낮아 박스 정밀도 부족,0,0,0.7011,448.83,529.18,0.579863,324.88,517.14,0.7238,0.9773,0.7060,False,True,False,0.0000
construction_image107.jpg,Too_Narrow_Box,예측 박스가 정답 박스보다 과도하게 작음,0,0,0.7011,448.83,529.18,0.579863,324.88,517.14,0.7238,0.9773,0.7060,False,True,False,0.0000
construction_image107.jpg,Partial_or_Truncated_Candidate,person 박스가 이미지 경계에 가까워 상반신/부분 가림 사례일 가능성,0,0,0.7011,448.83,529.18,0.579863,324.88,517.14,0.7238,0.9773,0.7060,False,True,False,0.0000
construction_image1077.jpg,Localization_Error,객체는 찾았지만 IoU가 낮아 박스 정밀도 부족,0,0,0.6618,443.15,580.57,0.628124,296.46,590.02,0.6690,1.0163,0.8954,False,True,False,0.0000
construction_image1077.jpg,Too_Narrow_Box,예측 박스가 정답 박스보다 과도하게 작음,0,0,0.6618,443.15,580.57,0.628124,296.46,590.02,0.6690,1.0163,0.8954,False,True,False,0.0000
construction_image1077.jpg,Partial_or_Truncated_Candidate,person 박스가 이미지 경계에 가까워 상반신/부분 가림 사례일 가능성,0,0,0.6618,443.15,580.57,0.628124,296.46,590.02,0.6690,1.0163,0.8954,False,True,False,0.0000
construction_image1078.jpeg,FN_person,정답 person이 있지만 예측 person이 매칭되지 않음,0,,0.3697,321.25,601.35,0.471640,,,,,,False,True,True,0.3886
construction_image1078.jpeg,Partial_or_Truncated_Candidate,person 박스가 이미지 경계에 가까워 상반신/부분 가림 사례일 가능성,1,0,0.9106,382.34,594.29,0.554738,415.07,586.93,1.0856,0.9876,0.5000,False,True,True,0.3886
construction_image1078.jpeg,Crowded_or_Overlapped_Person,다른 person 박스와 겹침이 있어 작업자 겹침 사례일 가능성,1,0,0.9106,382.34,594.29,0.554738,415.07,586.93,1.0856,0.9876,0.5000,False,True,True,0.3886
construction_image1082.jpg,Partial_or_Truncated_Candidate,person 박스가 이미지 경계에 가까워 상반신/부분 가림 사례일 가능성,0,0,0.8087,374.16,601.07,0.549063,311.46,617.99,0.8324,1.0281,0.9427,False,True,False,0.0000
construction_image1094.jpg,Localization_Error,객체는 찾았지만 IoU가 낮아 박스 정밀도 부족,0,0,0.7085,314.59,562.43,0.431970,235.74,605.74,0.7494,1.0770,0.8908,False,False,False,0.0000
construction_image1094.jpg,Too_Narrow_Box,예측 박스가 정답 박스보다 과도하게 작음,0,0,0.7085,314.59,562.43,0.431970,235.74,605.74,0.7494,1.0770,0.8908,False,False,False,0.0000
construction_image1117.jpg,Localization_Error,객체는 찾았지만 IoU가 낮아 박스 정밀도 부족,0,0,0.5669,1019.57,590.29,0.765282,691.10,760.63,0.6778,1.2886,0.3810,False,True,False,0.0000
construction_image1117.jpg,Too_Wide_Box,예측 박스가 정답 박스보다 과도하게 큼,0,0,0.5669,1019.57,590.29,0.765282,691.10,760.63,0.6778,1.2886,0.3810,False,True,False,0.0000
construction_image1117.jpg,Too_Narrow_Box,예측 박스가 정답 박스보다 과도하게 작음,0,0,0.5669,1019.57,590.29,0.765282,691.10,760.63,0.6778,1.2886,0.3810,False,True,False,0.0000
construction_image1117.jpg,Partial_or_Truncated_Candidate,person 박스가 이미지 경계에 가까워 상반신/부분 가림 사례일 가능성,0,0,0.5669,1019.57,590.29,0.765282,691.10,760.63,0.6778,1.2886,0.3810,False,True,False,0.0000
construction_image1118.jpg,FN_person,정답 person이 있지만 예측 person이 매칭되지 않음,0,,0.1585,695.31,442.69,0.440108,,,,,,False,False,True,0.2207
construction_image1118.jpg,Localization_Error,객체는 찾았지만 IoU가 낮아 박스 정밀도 부족,1,0,0.6408,498.29,445.50,0.317399,468.50,666.88,0.9402,1.4969,0.5324,False,True,True,0.2207
construction_image1118.jpg,Too_Wide_Box,예측 박스가 정답 박스보다 과도하게 큼,1,0,0.6408,498.29,445.50,0.317399,468.50,666.88,0.9402,1.4969,0.5324,False,True,True,0.2207
construction_image1118.jpg,Partial_or_Truncated_Candidate,person 박스가 이미지 경계에 가까워 상반신/부분 가림 사례일 가능성,1,0,0.6408,498.29,445.50,0.317399,468.50,666.88,0.9402,1.4969,0.5324,False,True,True,0.2207
construction_image1118.jpg,Crowded_or_Overlapped_Person,다른 person 박스와 겹침이 있어 작업자 겹침 사례일 가능성,1,0,0.6408,498.29,445.50,0.317399,468.50,666.88,0.9402,1.4969,0.5324,False,True,True,0.2207
construction_image1122.jpg,FN_person,정답 person이 있지만 예측 person이 매칭되지 않음,0,,0.4422,421.42,374.98,0.226943,,,,,,False,False,True,0.1354
construction_image1122.jpg,FN_person,정답 person이 있지만 예측 person이 매칭되지 않음,1,,0.1338,124.30,172.09,0.030721,,,,,,False,False,True,0.1354
construction_image1122.jpg,FN_person,정답 person이 있지만 예측 person이 매칭되지 않음,2,,0.1536,189.63,187.49,0.051060,,,,,,False,False,True,0.1279
construction_image1122.jpg,FP_person,예측 person이 있지만 정답 person과 매칭되지 않음,,0,0.0000,,,,345.35,596.29,,,0.3915,,,,
construction_image1122.jpg,FP_person,예측 person이 있지만 정답 person과 매칭되지 않음,,1,0.0000,,,,280.74,569.50,,,0.3213,,,,
construction_image1126.jpg,Localization_Error,객체는 찾았지만 IoU가 낮아 박스 정밀도 부족,0,0,0.5982,240.19,327.16,0.112356,234.31,519.29,0.9755,1.5873,0.7671,False,False,False,0.0154
construction_image1126.jpg,Too_Wide_Box,예측 박스가 정답 박스보다 과도하게 큼,0,0,0.5982,240.19,327.16,0.112356,234.31,519.29,0.9755,1.5873,0.7671,False,False,False,0.0154
construction_image1126.jpg,Localization_Error,객체는 찾았지만 IoU가 낮아 박스 정밀도 부족,1,4,0.5249,245.25,330.54,0.115907,227.18,429.78,0.9263,1.3003,0.4482,False,False,False,0.0420
construction_image1126.jpg,Too_Wide_Box,예측 박스가 정답 박스보다 과도하게 큼,1,4,0.5249,245.25,330.54,0.115907,227.18,429.78,0.9263,1.3003,0.4482,False,False,False,0.0420
